#stellarMass FeAbund_med FeAbund_16 FeAbund_84
812830516.0 -0.6 0.5100000000000001 0.6
1288249550.0 -0.61 0.4600000000000001 0.61
2041737940.0 -0.65 0.45000000000000007 0.6
3235936570.0 -0.61 0.42000000000000004 0.6
5248074600.0 -0.52 0.44999999999999996 0.5700000000000001
8128305160.0 -0.41 0.49000000000000005 0.5
12882495500.0 -0.23 0.5700000000000001 0.37
20417379400.0 -0.11 0.54 0.28
32359365700.0 -0.01 0.39999999999999997 0.21000000000000002
52480746000.0 0.04 0.27999999999999997 0.18
81283051600.0 0.07 0.21000000000000002 0.16999999999999998
128824955000.0 0.1 0.19 0.15
204173794000.0 0.12 0.18 0.14
323593657000.0 0.13 0.17 0.15000000000000002
524807460000.0 0.14 0.17 0.14999999999999997
812830516000.0 0.15 0.18 0.15
