#stellarMass FeAbund FeAbund_lowerr FeAbund_uperr
24547089.2 -1.04 0.01 0.01
4897788.19 -1.45 0.01 0.01
3890451.45 -1.68 0.01 0.01
1174897.55 -1.63 0.01 0.01
691830.971 -1.94 0.01 0.01
537031.796 -2.13 0.01 0.01
323593.657 -1.98 0.01 0.01
301995.172 -1.91 0.01 0.01
37153.5229 -2.39 0.04 0.04
19054.6072 -2.1 0.03 0.03
8511.38038 -2.45 0.07 0.07
7943.28235 -2.12 0.05 0.05
5370.31796 -2.18 0.05 0.05
4786.30092 -2.25 0.04 0.04
1380.38426 -2.14 0.05 0.05
102329299.0 -1.19 0.01 0.01
83176377.1 -1.05 0.01 0.01
8317637.71 -1.43 0.02 0.02
6606934.48 -1.39 0.01 0.01
2951209.23 -1.58 0.02 0.02
1412537.54 -1.44 0.03 0.03
134896.288 -1.74 0.04 0.04
467735141.0 -0.92 0.13 0.13
67608297.5 -1.12 0.36 0.36
100000000.0 -0.83 0.25 0.25
14791083.9 -1.62 0.21 0.21
9120108.39 -1.47 0.37 0.37
7585775.75 -1.33 0.17 0.17
1819700.86 -1.84 0.05 0.05
616595.002 -1.94 0.18 0.18
794328.235 -1.35 0.2 0.2
776247.117 -1.7 0.2 0.2
380189.396 -2.21 0.01 0.01
239883.292 -1.93 0.2 0.2
141253.754 -2.46 0.2 0.2
