#Sample massBin relRateErrLow relRate relRateErrUp
Full 6.5 1.79386523684 9.22081843131 39.0468584948
Full 7.5 2.82865794873 6.39794167635 13.5759316586
Full 8.0 14.3850452681 20.0933652616 27.9462131785
Full 8.5 11.0014465906 14.0469314061 17.9192864748
Full 9.0 4.92966786889 6.11155814309 7.57498923465
Full 9.5 1.26071289654 1.58693882151 1.99646801755
Full 10.0 1.0 1.0 1.0
Full 10.5 0.638549020895 0.767391076231 0.922456150293
Full 11.0 0.532280936419 0.640635042297 0.771221129613
Full 11.5 0.126628246791 0.166335382859 0.218112524396
