#Sample massBin relRateErrLow relRate relRateErrUp
Full 6.5 0.15388613983406538 0.791004878942118 3.3496219242179865
Full 7.5 0.5682611128646923 1.285309684996869 2.7273265881987427
Full 8.0 4.411235233198714 6.161715805793099 8.569824975167707
Full 8.5 5.107465792765449 6.521344357684658 8.319100760713152
Full 9.0 3.365152000665266 4.171948832940803 5.170934605730353
Full 9.5 1.1544802443998567 1.4532170833919573 1.8282377305438249
Full 10.0 1.0 1.0 1.0
Full 10.5 0.575608835380096 0.6917512504385128 0.8315319466235176
Full 11.0 0.5392865961946827 0.6490668136411083 0.7813716205966434
Full 11.5 0.36741122799183296 0.48262128571980256 0.6328524042585787
