#stellarMass sSFR sSFR_high sSFR_low
12589254117.941662 8.216465065968415e-11 8.74066000806021e-11 5.093943564822175e-11
19952623149.688828 7.211006739344138e-11 7.736204600366407e-11 4.457977747221031e-11
31622776601.683792 6.332735078551061e-11 6.531572140811597e-11 3.799790201226942e-11
50118723362.72715 5.52301245444715e-11 5.879272526571788e-11 3.139897748945848e-11
79432823472.42822 4.803243168097891e-11 5.701913015306724e-11 2.5859649829934558e-11
125892541179.41661 4.057079118548354e-11 5.780641647621708e-11 1.9686578014190963e-11
199526231496.88828 3.368248015769367e-11 5.650962072544586e-11 1.4639520384961952e-11
316227766016.83795 2.7609029329201237e-11 5.445896971746736e-11 1.0573992417294425e-11
19952623.149688788 2.536100957104276e-10 3.2457837505446057e-10 1.6976648339692116e-10
31622776.60168379 2.3683557037602296e-10 2.933121628385448e-10 1.5748390459388576e-10
50118723.36272725 2.212848995853427e-10 2.648888966554657e-10 1.4725055837093476e-10
79432823.47242822 2.0844363756519155e-10 2.4301223964465543e-10 1.4097220154696954e-10
125892541.17941661 1.986634773251298e-10 2.2679414839975332e-10 1.3490408704300676e-10
199526231.49688828 1.9110620049271399e-10 2.1355450198368795e-10 1.3040173450613407e-10
316227766.01683795 1.834740849319053e-10 2.0597283666903508e-10 1.2476002291093135e-10
501187233.6272715 1.7277308929034718e-10 1.9111662316981778e-10 1.163604725349094e-10
794328234.7242821 1.6060971743956237e-10 1.7270957479471413e-10 1.0678400476276947e-10
1258925411.794166 1.4735622798781895e-10 1.5621737911625232e-10 9.824190708571928e-11
1995262314.9688828 1.3393410212873906e-10 1.3939164685939426e-10 8.800877058416851e-11
3162277660.1683793 1.19320220175282e-10 1.2136659645700787e-10 7.696483130886977e-11
5011872336.272715 1.0540987437166566e-10 1.0647944906823904e-10 6.682166747202704e-11
7943282347.242822 9.279730147355589e-11 9.63270576592632e-11 5.835018569633017e-11
