#name stellar_mass MW_dist tau50 tau90
I1613 101859092.281 757.639784053 7.4866611991 12.3836970993
Phe 1390825.35839 414.914133413 3.7962346439 11.2843482124
N6822 83002198.6796 452.35735636 9.81516293836 12.9049837058
Cet 4488689.40488 755.598699242 1.20698052596 9.32939872239
Peg 6606929.83743 920.968076836 1.20698052596 12.2113414514
LeoT 135518.931712 421.669180757 6.71677680006 12.3836970993
WLM 38569363.1038 932.733720287 11.8009723289 13.1652772994
LeoA 2985177.90128 802.692628115 10.6339569837 13.2950474103
Aqr 1400368.44093 1065.87334308 1.20698052596 11.5575135053
Tuc 895612.081337 882.851735743 3.7962346439 7.4866611991
SagDIG 1412731.31042 1059.43629131 7.4866611991 13.1652772994
SexB 41984604.8212 1429.08578265 2.57605010088 12.2113414514
SexA 22027755.5583 1434.68980998 1.20698052596 13.2338933187
