#name stellar_mass MW_dist tau50 tau90
M32 414899993.409 22.6525162265 1.20698052596 12.2113414514
N205 467872817.929 41.5933577584 5.85295229666 11.8009723289
AndI 7587875.6096 58.3542796333 1.20696977421 6.71677068516
AndIII 1800001.53338 75.185251507 2.57604554936 5.85295919224
AndV 615733.850929 109.492602468 3.7962346439 6.71677680006
AndXI 73810.8015564 110.647166425 1.20698052596 8.78436230763
AndXIII 55477.9155644 132.116792609 1.20698052596 9.81516293836
N147 99110531.7026 142.91710653 8.172821392 11.2843482124
AndXII 56509.3508463 178.597364502 6.71677680006 8.172821392
AndXV 772893.431535 178.927067681 1.20696977421 4.88372854038
AndII 9120105.18924 184.053149206 2.57604554936 7.48665860935
N185 67920418.148 187.726942917 4.88372526256 10.6339569837
AndVII 14799344.5969 218.330396492 1.20698052596 1.20698052596
IC10 76955996.7133 252.104015284 9.81516293836 12.2113414514
LGS3 963829.057488 268.520850084 3.7962346439 10.2481007516
AndVI 1655654.444 268.984806752 3.7962346439 10.2481007516
AndXVI 539659.542168 323.244821798 4.88372854038 8.17282155796
AndXXVIII 343652.851713 367.765492044 1.20696977421 6.71677068516
