#simID stellarMass FeH_mass_weighted
m12i 68391210000.0 -0.1236369
m12f 82032020000.0 -0.11647993
m12z 21742752000.0 -0.3979116
m12r 17755677000.0 -0.39702764
m12w 61415215000.0 -0.09182368
m12b 91185930000.0 -0.07125118
m12c 63035945000.0 -0.1479771
m12m 120493646000.0 -0.043419946
m11d 3978249000.0 -0.6608539
m11e 1459656400.0 -0.75968677
m11f_nmd 26990940000.0 -0.25923106
m11g_nmd 52167516000.0 -0.15255198
Romeo 68779650000.0 -0.12135959
Juliet 40831080000.0 -0.17658614
Romulus 93200450000.0 -0.116028935
Remus 48224838000.0 -0.20533913
Thelma 75298130000.0 -0.17262411
Louise 27159070000.0 -0.3047126
