#simID stellarMass FeH_mass_weighted
m12iMann 138180400000.0 0.046918407
m12iMaoz 135537350000.0 0.20945251
m12iZ05_100x 129880310000.0 0.11694543
m12iZ05_10x 135561670000.0 0.12973312
m12iZ1_100x 90934020000.0 0.084431686
m12iZ1_10x 124803890000.0 0.08628837
m11eMann 438837060.0 -1.3715159443985627
m11eMaoz 617696640.0 -0.8921006610704502
m11eZ05_100x 274821540.0 -0.7881867179696377
m11eZ05_10x 316124670.0 -0.6768499843852914
m11eZ1_100x 22664468.0 -1.1835918119645057
m11eZ1_10x 96852550.0 -1.0705061951330908
m11bMann 48937852.0 -1.8725569071222723
m11bMaoz 61615544.0 -1.6776018315197794
m11bZ05_100x 33626730.0 -1.0928459193157805
m11bZ05_10x 32657980.0 -1.3280951331211142
m11bZ1_100x 2505842.2 -1.5703310456404982
m11bZ1_10x 31923240.0 -1.1652713087630473
