#name stellar_mass MW_dist tau50 tau90
Sgr 34365285.1713 18.6994270196 8.172821392 10.6339569837
Dra 320000.0 75.8730768402 2.57605010088 3.7962346439
Scl 3894473.75063 85.9793828456 2.57605010088 3.7962346439
Car 376703.984279 106.751067727 9.32939872239 11.8009723289
Her 37000.0 126.349419001 1.20698052596 1.20698052596
For 24388295.3828 149.218008097 6.71677680006 11.8009723289
LeoIV 8500.0 154.728518445 2.57605010088 2.57605010088
CVnII 8000.0 160.568440746 3.7962346439 5.85295229666
CVnI 300000.0 217.543138385 1.20698052596 5.85295229666
LeoII 1180646.86876 235.839479366 5.85295229666 7.4866611991
LeoI 4945869.47141 257.251365874 8.78436230763 12.2113414514
